keys,shortcut
⌘E,Move to the last location you edited.
CTRL+SHIFT+N,Search Resource
CTRL+1,It activates the quick fix.
cmd + F12,Find methods
Press  SHIFT TWO times, dsa
⇧⌘ F,Find reference
Alt + F7,Find a method where its used
CTRL+E,Shows you a list of all open editors.
sdsd,Use to move between open editors
CTRL + M,Maximize or unmaximize your current tab
CTRL + O,Search a method within a  or unmaximize your current tab.
CTRL + K/^ Sh K, Find instances fwd / backwards
F3,Find uses in the same file
CNRK + B,Build
CTRL+SHIFT+G,Select an element and search its occurrences
⇧⌘⌫, Jump back to previous edit
⌘[ / ⌘],Move through navigation history
CTRL + ALT + O, Optimize Imports
CTRL+SHIFT+O,
CTRL + ALT + L, Code Format
