path,title,current_categories,current_tags,proposed_categories,proposed_tags
_posts/2025-03-07-denver-nashville-trip.md,Trip from Denver to Nashville,Miscellaneous,Miscellaneous,Travel,USA
_posts/2025-05-27-roanoke-island-trip.md,Trip to Roanoke Islands and Kitty Hawk,Miscellaneous,Miscellaneous,Travel,USA
_posts/2024-09-23-gcc-cross-compiler.md,GCC Cross Compiler - Mac installation,Miscellaneous,Miscellaneous,Developer Tools,MacOS
_posts/2024-09-14-os-kernal.md,OS Kernal,Miscellaneous,Miscellaneous,Operating Systems,Operating Systems
_posts/2025-02-01-solo-trip.md,Solo trip - Denver to San Fransisco,Miscellaneous,Miscellaneous,Travel,USA
_posts/microservices/2024-11-27-webhooks.md,"Complete Guide to SpringBoot Webhooks: Implementation, Security & Best Practices",Microservices,Spring Boot,Microservices,Spring Boot;Security;API;Guide
_posts/microservices/2024-09-12-spring-profile.md,SpringBoot Profile,Microservices,Spring Boot,Microservices,Spring Boot;Configuration
_posts/microservices/2023-02-21-mapstruct-mapper-details.md,MapStruct Mapper,Microservices,Spring Boot,Microservices,Spring Boot
_posts/microservices/2025-09-22-spring-advanced-testing.md,Advanced Testing in Spring Boot,Spring;Microservices,Testing;JUnit,Microservices,Spring Boot;Testing
_posts/microservices/2025-09-22-ssl-certificates-keystores-complete-guide.md,"Complete Guide to SSL/TLS Certificates, Keystores & Trust Management",Microservices,Microservices,Microservices,Security;Guide
_posts/microservices/2019-11-20-zipkin-distributed-tracing.md,Zipkin Distributed Tracing Server,Microservices,Microservices,Microservices,Spring Boot;Observability
_posts/microservices/2024-09-12-spring-aop.md,Aspect Oriented Programming (AOP),Microservices,Spring Boot,Microservices,Spring Boot
_posts/microservices/2024-07-15-CommandLineRunner.md,CommandLineRunner - Spring Boot,Microservices,Spring Boot,Microservices,Spring Boot
_posts/microservices/2022-10-11-gradle-build-tree.md,Gradle - build & tool,Microservices,Spring Boot,Microservices,Microservices
_posts/microservices/2024-11-27-websocket-springboot.md,Complete Guide to SpringBoot WebSockets: Real-time Communication Patterns,Microservices,Spring Boot;Real-time,Microservices,Spring Boot;Real-time;Guide
_posts/microservices/2023-02-19-jackson-mapper-details.md,Jackson Mapper,Microservices,Spring Boot,Microservices,Spring Boot
_posts/microservices/2025-09-22-docker-spring-boot.md,Containerizing Spring Boot with Docker,Spring;Microservices,Spring,Microservices,Spring Boot;Containers
_posts/microservices/2019-11-22-designing-microservice.md,Designing a microservice,Microservices,Spring Boot,Microservices,Spring Boot;Architecture;Design Patterns
_posts/microservices/2025-09-22-spring-webflux-reactive.md,Reactive Programming with Spring WebFlux,Spring;Microservices,Spring,Microservices,Spring Boot
_posts/microservices/2025-09-22-spring-security-concepts.md,Spring Security Concepts,Spring;Microservices,Spring,Microservices,Spring Boot;Security;Authentication
_posts/microservices/2022-02-10-dependency-injection-concepts.md,Dependency Injection,Microservices,Spring Boot,Microservices,Spring Boot;Design Patterns
_posts/microservices/2024-04-23-test-estimations.md,Testing Estimations,Microservices,Spring Boot,Microservices,Testing;Estimation
_posts/microservices/2023-09-15-spring-Swagger-Documentation.md,Swagger Documentations,Microservices,CRUD,Microservices,Spring Boot
_posts/microservices/2019-11-22-spring-cloud-config-server.md,Spring Config Client,Microservices,Spring Boot,Microservices,Spring Boot;Configuration
_posts/microservices/2025-09-22-flyway-database-migration.md,Database Migration with Flyway,Spring;Microservices,Database,Microservices,Spring Boot;Database;Migration
_posts/microservices/2024-02-23-spring-beans.md,Spring Bean Scope,Microservices,Microservices,Microservices,Spring Boot
_posts/microservices/2024-03-11-redis-cache.md,Caching with Redis,Microservices,CRUD,Microservices,Spring Boot;Redis;Caching;Performance
_posts/microservices/2024-07-28-springboot-with-virtualThreads.md,SpringBoot with Virtual Threads,Microservices,Spring Boot,Microservices,Spring Boot;Concurrency;Java 21
_posts/microservices/2024-04-19-ssl-certificate-issue.md,ssl Security Certificate Issue,Microservices,Spring Boot,Microservices,Spring Boot;Security;Troubleshooting
_posts/microservices/2022-07-27-interface-default-method.md,Default method in Interface,Microservices,Java,Microservices,Java;Java 8
_posts/microservices/2024-03-06-rest-template.md,Rest Template,Microservices,CRUD,Microservices,Spring Boot;REST
_posts/microservices/2019-11-20-spring-cloud-sleuth.md,Spring Cloud Sleuth,Microservices,Spring Boot,Microservices,Spring Boot
_posts/microservices/2024-07-18-Prometheus-micrometer.md,"Complete Guide to Prometheus & Micrometer: Metrics, Monitoring & Observability",Microservices,Spring Boot,Microservices,Spring Boot;Metrics;Monitoring;Observability;Guide
_posts/microservices/2024-12-05-springboot-startup.md,Spring Boot Startup Process,Microservices,Spring Boot,Microservices,Spring Boot
_posts/microservices/2024-11-27-sse-springboot.md,Complete Guide to SpringBoot Server-Sent Events (SSE): Real-time Server Push,Microservices,Spring Boot;Real-time,Microservices,Spring Boot;Real-time;Guide
_posts/microservices/2022-02-10-spring-transactions.md,Spring Transactions,Microservices,Spring Boot,Microservices,Spring Boot;Transactions;Database;ACID
_posts/microservices/2023-10-24-essential-kafka.md,Kafka Essentials,Microservices,Microservices,Microservices,Real-time
_posts/microservices/2025-01-17-spring-security.md,Spring Security,Microservices,Spring Boot,Microservices,Spring Boot;Security;Authentication
_posts/microservices/2024-04-25-GCP-logs.md,Gcp Logs,Microservices,Spring Boot,Microservices,Spring Boot;Observability
_posts/microservices/2024-04-04-spring-actuator.md,Spring Actuator,Microservices,Spring Boot,Microservices,Spring Boot;Monitoring;Metrics
_posts/microservices/2024-07-25-caffeine-cache.md,Caffeine Cache,Microservices,Spring Boot,Microservices,Spring Boot;Caching;Performance
_posts/microservices/2024-03-13-spring-scheduler.md,Spring Scheduler,Microservices,Spring Boot,Microservices,Spring Boot
_posts/microservices/2025-09-22-resilience4j-spring-boot.md,Resilience and Fault Tolerance with Resilience4J,Spring;Microservices,Spring,Microservices,Spring Boot
_posts/microservices/2022-02-10-hibernate.md,Hibernate,Microservices,Spring Boot,Microservices,Spring Boot;Database
_posts/systems_design/2024-06-13-ContainersVsVirtualMc.md,Containers vs Virtual Machine,System Design,System Design,System Design,Containers;Infrastructure
_posts/systems_design/2024-01-20-Consistency-in-Distributed-systems.md,Data Consistency Levels,System Design,System Design,System Design,Distributed Systems;ACID
_posts/systems_design/2024-07-06-zookeeper.md,Zookeeper,System Design,System Design,System Design,Distributed Systems
_posts/systems_design/2024-06-13-System-design-drills.md,System Design Drills,System Design,System Design,System Design,Practice;Design Patterns
_posts/systems_design/2024-09-16-monitoringLogging.md,Monitoring & Logging,System Design,System Design,System Design,Monitoring;Observability;Metrics
_posts/systems_design/2024-12-21-DAU.md,Daily Active Users - Approximation,System Design,System Design,System Design,Metrics;Analytics;Estimation
_posts/systems_design/2024-06-13-Distributed-messaging.md,Distributed Messaging,System Design,System Design,System Design,Distributed Systems
_posts/systems_design/2024-06-17-Deployments.md,Deployments,System Design,System Design,System Design,CI/CD
_posts/systems_design/2024-06-17-Distributed-Systems.md,Distributed Systems,System Design,System Design,System Design,Distributed Systems;Architecture;Scalability
_posts/systems_design/2024-12-21-DB-storage-requirements.md,Database Requirements Estimation,System Design,System Design,System Design,Database;Estimation
_posts/systems_design/2024-01-15-Back-of-the-envelope-estimations.md,Back of the envelop estimations,System Design,System Design,System Design,Estimation;Scalability;Interview
_posts/systems_design/2024-06-17-Distributed-Computations.md,Distributed Computations,System Design,System Design,System Design,System Design
_posts/systems_design/2021-01-31-scaling.md,Scaling Vertical vs Horizontal,System Design,System Design,System Design,Scalability;Performance
_posts/systems_design/2025-05-03-systems-design-plan.md,System Design Plan,System Design,System Design,System Design,Interview
_posts/systems_design/2024-06-14-API-Gateway.md,API Gateway,System Design,System Design,System Design,Authentication
_posts/systems_design/2024-06-14-LiveStreaming.md,Live Streaming,System Design,System Design,System Design,Real-time
_posts/systems_design/2024-07-08-paxos.md,Paxos,System Design,System Design,System Design,Distributed Systems;Algorithms
_posts/systems_design/2024-06-14-ScanToPay.md,Scan to Pay,System Design,System Design,System Design,System Design
_posts/systems_design/2024-06-29-TechStack.md,Tech Stack,System Design,System Design,System Design,Architecture;Tools
_posts/systems_design/2024-06-21-bloom-filters.md,Bloom Filters,System Design,System Design,System Design,Data Structures
_posts/systems_design/2024-06-14-ConsistentHashing.md,Consistent Hashing,System Design,System Design,System Design,Distributed Systems
_posts/systems_design/2024-06-17-CAP-Theorem.md,CAP Theorem,System Design,System Design,System Design,Distributed Systems
_posts/systems_design/2024-12-21-Network-requirements.md,Network Requirements Estimation,System Design,System Design,System Design,Estimation
_posts/systems_design/2024-01-21-Rate-limiting.md,Rate Limiting,System Design,System Design,System Design,Security
_posts/misc/2025-04-09-dressing-clothing.md,Dressing Clothing,Miscellaneous,Miscellaneous,Lifestyle,Lifestyle
_posts/misc/2025-04-13-US-history-summary.md,US History timeline and Government,Miscellaneous,Miscellaneous,History,USA
_posts/misc/2022-01-17-useful-excel-formule.md,Useful MS Excel Tools,Miscellaneous,Miscellaneous,Productivity,Tools
_posts/misc/2016-04-14-linux-files.md,Linux Files & Commands,Miscellaneous,Developer tools,Developer Tools,Commands;CLI
_posts/misc/2021-02-14-Mahabharatha-family-tree.md,Mahabharat Family tree,Miscellaneous,Miscellaneous,Culture,Culture
_posts/misc/2022-01-25-SonyA7iii-Camera-Panning.md,Sony A7iii Camera Panning,Miscellaneous,Photography,Photography,Photography
_posts/misc/2022-11-24-Shodashah-Sanskara.md,षोडशः संस्कार (The 16 Sanskars),Miscellaneous,Miscellaneous,Culture,Culture
_posts/misc/2023-03-05-Trading.md,Trading,Miscellaneous,Miscellaneous,Finance,Investment
_posts/misc/2024-06-30-Shlokas.md,Shloka - ॐ ॐ ॐ,Miscellaneous,Miscellaneous,Culture,Culture
_posts/misc/2022-01-25-SonyA7iii-Camera-Settings.md,Sony A7iii Camera Settings,Miscellaneous,Photography,Photography,Settings;Configuration
_posts/misc/2024-09-19-book-binding-basics.md,Book Binding,Miscellaneous,Miscellaneous,Crafts,DIY
_posts/misc/2023-05-22-javascript.md,javascript,Miscellaneous,Miscellaneous,Programming,Programming
_posts/misc/2024-09-09-rocks-geography.md,Rocks,Miscellaneous,Miscellaneous,Science,Science
_posts/misc/2025-05-15-the-project-phoenix.md,,Miscellaneous,Miscellaneous,Books,Books
_posts/misc/2022-03-27-Gardening.md,Gardening,Miscellaneous,Miscellaneous,Hobbies,Hobbies
_posts/misc/2024-01-15-legal-vocab.md,Legal Vocabulary,Miscellaneous,Miscellaneous,Legal,Reference
_posts/misc/2025-05-13-interview-intro.md,Intro,Miscellaneous,Miscellaneous,Career,Interview
_posts/misc/2024-06-17-behavioural.md,Behavioural,Miscellaneous,Miscellaneous,Career,Interview
_posts/databases/2021-04-16-MySql-to-Spanner-migration.md,MySql to Spanner Migration using HarbourBridge,Database,Google Cloud Platform,Database,Migration
_posts/databases/2023-05-27-import-mysql-data-dump.md,Importing MySql data dump from a sql file,Database,Database,Database,SQL
_posts/databases/2025-07-09-databricks.md,Azure Databricks & Apache Spark,Database,Database,Database,Analytics
_posts/devops/2025-04-29-kubernetes-concepts.md,Kubernetes Concepts,DevOps,DevOps,DevOps,Kubernetes;Containers
_posts/devops/2025-04-29-Kubernetes-commands.md,Kubernetes Commands,DevOps;GitOps,GitOps,DevOps,Kubernetes;Commands;CLI
_posts/devops/2023-10-04-docker-commands.md,Docker commands,DevOps;GitOps,GitOps,DevOps,Containers;Commands;CLI
_posts/devops/2025-04-29-kubernetes-on-GKE.md,Kubernetes on Google Kubernetes Engine (GKE),DevOps,GCP,DevOps,Kubernetes
_posts/devops/2024-12-08-terraform.md,Terraform,DevOps;GitOps,GitOps,DevOps,Automation
_posts/devops/2024-09-24-jenkins.md,Jenkins,DevOps;GitOps,GitOps,DevOps,CI/CD;Automation;Pipeline
_posts/devops/2024-09-23-start-devops-learning.md,DevOps Learning - Starting point,DevOps;GitOps,GitOps,DevOps,Tutorial
_posts/devops/2025-04-29-deployment-processes-devops.md,Deployment process - From Dev to Release,DevOps,DevOps,DevOps,CI/CD;Pipeline
